date,fund,company,ticker,cusip,shares,market value ($),weight (%)
12/01/2025,ARKW,TESLA INC,TSLA,88160R101,"527,994","$227,127,178.98",10.40%
12/01/2025,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,"583,894","$127,014,461.82",5.81%
12/01/2025,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"4,116,345","$124,066,638.30",5.68%
12/01/2025,ARKW,ROKU INC,ROKU,77543R102,"1,219,690","$118,053,795.10",5.40%
12/01/2025,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"406,817","$110,987,813.94",5.08%
12/01/2025,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"693,108","$109,954,653.12",5.03%
12/01/2025,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"820,586","$105,437,095.14",4.83%
12/01/2025,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"480,490","$80,938,540.50",3.70%
12/01/2025,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"770,739","$73,243,327.17",3.35%
12/01/2025,ARKW,ALPHABET INC-CL C,GOOG,02079K107,"205,615","$65,821,473.80",3.01%
12/01/2025,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,"793,041","$63,387,767.13",2.90%
12/01/2025,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,"90,191","$58,439,258.45",2.67%
12/01/2025,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"190,377","$55,496,799.27",2.54%
12/01/2025,ARKW,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"1,622,021","$53,721,335.52",2.46%
12/01/2025,ARKW,BLOCK INC,XYZ,852234103,"771,194","$51,515,759.20",2.36%
12/01/2025,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"86,896","$44,243,967.36",2.03%
12/01/2025,ARKW,AMAZON.COM INC,AMZN,023135106,"172,315","$40,187,304.30",1.84%
12/01/2025,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,"528,479","$38,642,384.48",1.77%
12/01/2025,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,"190,021","$38,044,104.41",1.74%
12/01/2025,ARKW,UNITY SOFTWARE INC,U,91332U101,"820,829","$34,901,649.08",1.60%
12/01/2025,ARKW,BULLISH,BLSH,G16910120,"778,086","$33,940,111.32",1.55%
12/01/2025,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"1,022,761","$33,914,754.76",1.55%
